student_id,course_id,satisfaction_score
1,A,80
1,B,75
1,C,90
1,D,85
1,E,70
2,A,65
2,B,90
2,C,70
2,D,92
2,E,88
3,A,70
3,B,85
3,C,95
3,D,80
3,E,89
4,A,60
4,B,95
4,C,80
4,D,78
4,E,76
5,A,78
5,B,87
5,C,76
5,D,83
5,E,92
6,A,82
6,B,91
6,C,65
6,D,89
6,E,77
7,A,89
7,B,79
7,C,94
7,D,76
7,E,81
8,A,70
8,B,81
8,C,86
8,D,65
8,E,84
9,A,67
9,B,88
9,C,78
9,D,92
9,E,80
10,A,79
10,B,84
10,C,91
10,D,75
10,E,82
11,A,80
11,B,73
11,C,89
11,D,67
11,E,95
12,A,65
12,B,90
12,C,71
12,D,85
12,E,74
13,A,72
13,B,80
13,C,96
13,D,79
13,E,87
14,A,88
14,B,76
14,C,83
14,D,91
14,E,80
15,A,70
15,B,85
15,C,90
15,D,95
15,E,79
16,A,74
16,B,82
16,C,89
16,D,90
16,E,77
17,A,68
17,B,91
17,C,87
17,D,92
17,E,80
18,A,72
18,B,85
18,C,90
18,D,88
18,E,75
19,A,78
19,B,89
19,C,84
19,D,80
19,E,93
20,A,80
20,B,75
20,C,90
20,D,85
20,E,70
21,A,65
21,B,90
21,C,70
21,D,92
21,E,88
22,A,70
22,B,85
22,C,95
22,D,80
22,E,89
23,A,60
23,B,95
23,C,80
23,D,78
23,E,76
24,A,78
24,B,87
24,C,76
24,D,83
24,E,92
25,A,82
25,B,91
25,C,65
25,D,89
25,E,77
26,A,89
26,B,79
26,C,94
26,D,76
26,E,81
27,A,70
27,B,81
27,C,86
27,D,65
27,E,84
28,A,67
28,B,88
